hoice {
  short: hoice
  graph: hoice
  cmd: "hoice -c off"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^unknown" | wc -l | tr -d ' '` -ne 0 ] \
|| [ `cat $out | grep -e "^(error" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit 2
elif [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
086 "clauses/lia/termination/Ackermann04.smt2" 0.099946762 0
087 "clauses/lia/termination/Ackermann05.smt2" 0.124819806 0
088 "clauses/lia/termination/Ackermann06.smt2" 0.066158761 0
089 "clauses/lia/termination/alias_partial00.smt2" 0.030204325 0
090 "clauses/lia/termination/alias_partial01.smt2" 0.010914189 0
091 "clauses/lia/termination/alias_partial02.smt2" 0.012293651 0
092 "clauses/lia/termination/alias_partial03.smt2" 0.023324536 0
093 "clauses/lia/termination/append00.smt2" 0.011245237 0
094 "clauses/lia/termination/append01.smt2" 0.012869701 0
095 "clauses/lia/termination/append02.smt2" 0.024367724 0
096 "clauses/lia/termination/binomial00.smt2" 0.014201771 0
097 "clauses/lia/termination/binomial01.smt2" 0.016169850 0
098 "clauses/lia/termination/binomial02.smt2" 0.043508040 0
099 "clauses/lia/termination/binomial03.smt2" 0.019381378 0
100 "clauses/lia/termination/binomial04.smt2" 0.054172737 0
101 "clauses/lia/termination/binomial05.smt2" 0.059019468 0
102 "clauses/lia/termination/CE-0CFA00.smt2" 0.010817872 0
103 "clauses/lia/termination/CE-0CFA01.smt2" 0.011959730 0
104 "clauses/lia/termination/CE-0CFA02.smt2" 0.011976348 0
105 "clauses/lia/termination/CE-0CFA03.smt2" 0.012914224 10
106 "clauses/lia/termination/CE-0CFA04.smt2" 0.017521887 0
107 "clauses/lia/termination/CE-0CFA05.smt2" 0.018528805 0
108 "clauses/lia/termination/CE-1CFA00.smt2" 0.068886165 0
109 "clauses/lia/termination/CE-1CFA01.smt2" 0.068699623 0
110 "clauses/lia/termination/CE-1CFA02.smt2" 0.068391309 0
111 "clauses/lia/termination/CE-1CFA03.smt2" 0.039188409 10
