hoice {
  short: hoice
  graph: hoice
  cmd: "hoice --simple_red on"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
033 "clauses/lia/mochi/enc-zip3.smt2" 0.049075860 0
103 "clauses/lia/termination/CE-0CFA01.smt2" 0.129009305 0
105 "clauses/lia/termination/CE-0CFA03.smt2" 0.204836503 10
106 "clauses/lia/termination/CE-0CFA04.smt2" 0.240749835 0
075 "clauses/lia/mochi/sum.smt2" 0.031601715 0
070 "clauses/lia/mochi/queen.smt2" timeout 124
057 "clauses/lia/mochi/kmp.smt2" timeout 124
108 "clauses/lia/termination/CE-1CFA00.smt2" 0.308447315 0
107 "clauses/lia/termination/CE-0CFA05.smt2" 1.312419020 0
110 "clauses/lia/termination/CE-1CFA02.smt2" 0.272846388 0
086 "clauses/lia/termination/Ackermann04.smt2" timeout 124
087 "clauses/lia/termination/Ackermann05.smt2" timeout 124
112 "clauses/lia/termination/CE-1CFA04.smt2" 0.962893441 10
111 "clauses/lia/termination/CE-1CFA03.smt2" 0.260944437 10
084 "clauses/lia/termination/Ackermann02.smt2" timeout 124
089 "clauses/lia/termination/alias_partial00.smt2" 0.486758303 0
109 "clauses/lia/termination/CE-1CFA01.smt2" 0.320953299 0
090 "clauses/lia/termination/alias_partial01.smt2" 0.721418291 0
116 "clauses/lia/termination/CE-1CFA08.smt2" 0.464431045 0
121 "clauses/lia/termination/CE-Jones_Bohr03.smt2" 0.177056674 0
118 "clauses/lia/termination/CE-Jones_Bohr00.smt2" 0.552411657 0
115 "clauses/lia/termination/CE-1CFA07.smt2" 4.125223571 10
113 "clauses/lia/termination/CE-1CFA05.smt2" 1.908554188 0
104 "clauses/lia/termination/CE-0CFA02.smt2" 0.099366272 0
128 "clauses/lia/termination/Fibonacci02.smt2" 0.013971357 0
129 "clauses/lia/termination/Fibonacci03.smt2" 0.115549300 0
130 "clauses/lia/termination/indirect00.smt2" 0.014558566 0
131 "clauses/lia/termination/indirect01.smt2" 0.032443411 0
132 "clauses/lia/termination/indirect02.smt2" 0.017042542 0
133 "clauses/lia/termination/indirect03.smt2" 0.017607805 0
134 "clauses/lia/termination/indirectHO00.smt2" 0.016421251 0
120 "clauses/lia/termination/CE-Jones_Bohr02.smt2" 21.259758203 0
135 "clauses/lia/termination/indirectHO01.smt2" 0.017286535 0
136 "clauses/lia/termination/indirectHO02.smt2" 0.018210584 0
138 "clauses/lia/termination/McCarthy9100.smt2" 0.013145538 0
139 "clauses/lia/termination/McCarthy9101.smt2" 0.010190234 0
140 "clauses/lia/termination/McCarthy9102.smt2" 0.010562606 0
141 "clauses/lia/termination/McCarthy9103.smt2" 0.018346664 0
