FpIce Inactive Red {
  short: fpice_inactive_red
  graph: FpIce Inactive Red
  cmd: "fpice infer --vc-reduction"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "--- Correct Type found" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
elif [ `cat $err | grep -e "Failure.*is not valid\!" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
elif [ `cat $err | grep -e "contradiction found:" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
089 "clauses/lia/termination/alias_partial00.smt2" 0.077666761 0
090 "clauses/lia/termination/alias_partial01.smt2" 0.039362023 0
091 "clauses/lia/termination/alias_partial02.smt2" 0.053983533 0
092 "clauses/lia/termination/alias_partial03.smt2" timeout 124
093 "clauses/lia/termination/append00.smt2" 0.060252378 0
094 "clauses/lia/termination/append01.smt2" 0.200359946 0
095 "clauses/lia/termination/append02.smt2" timeout 124
096 "clauses/lia/termination/binomial00.smt2" 0.094285224 0
097 "clauses/lia/termination/binomial01.smt2" 0.231098455 0
098 "clauses/lia/termination/binomial02.smt2" timeout 124
099 "clauses/lia/termination/binomial03.smt2" 0.375428299 0
100 "clauses/lia/termination/binomial04.smt2" timeout 124
101 "clauses/lia/termination/binomial05.smt2" timeout 124
102 "clauses/lia/termination/CE-0CFA00.smt2" timeout 124
103 "clauses/lia/termination/CE-0CFA01.smt2" timeout 124
104 "clauses/lia/termination/CE-0CFA02.smt2" timeout 124
105 "clauses/lia/termination/CE-0CFA03.smt2" timeout 124
106 "clauses/lia/termination/CE-0CFA04.smt2" timeout 124
107 "clauses/lia/termination/CE-0CFA05.smt2" timeout 124
108 "clauses/lia/termination/CE-1CFA00.smt2" timeout 124
109 "clauses/lia/termination/CE-1CFA01.smt2" timeout 124
110 "clauses/lia/termination/CE-1CFA02.smt2" timeout 124
111 "clauses/lia/termination/CE-1CFA03.smt2" timeout 124
112 "clauses/lia/termination/CE-1CFA04.smt2" timeout 124
113 "clauses/lia/termination/CE-1CFA05.smt2" timeout 124
114 "clauses/lia/termination/CE-1CFA06.smt2" timeout 124
115 "clauses/lia/termination/CE-1CFA07.smt2" timeout 124
116 "clauses/lia/termination/CE-1CFA08.smt2" timeout 124
117 "clauses/lia/termination/CE-1CFA09.smt2" timeout 124
118 "clauses/lia/termination/CE-Jones_Bohr00.smt2" timeout 124
119 "clauses/lia/termination/CE-Jones_Bohr01.smt2" timeout 124
120 "clauses/lia/termination/CE-Jones_Bohr02.smt2" timeout 124
121 "clauses/lia/termination/CE-Jones_Bohr03.smt2" timeout 124
122 "clauses/lia/termination/CE-Jones_Bohr04.smt2" timeout 124
123 "clauses/lia/termination/churchNum01.smt2" timeout 124
124 "clauses/lia/termination/churchNum02.smt2" timeout 124
125 "clauses/lia/termination/churchNum03.smt2" 0.222886335 0
126 "clauses/lia/termination/Fibonacci00.smt2" 0.021324575 0
127 "clauses/lia/termination/Fibonacci01.smt2" 0.032272053 0
128 "clauses/lia/termination/Fibonacci02.smt2" 1.063483498 0
129 "clauses/lia/termination/Fibonacci03.smt2" 1.183062343 0
130 "clauses/lia/termination/indirect00.smt2" timeout 124
131 "clauses/lia/termination/indirect01.smt2" timeout 124
132 "clauses/lia/termination/indirect02.smt2" timeout 124
133 "clauses/lia/termination/indirect03.smt2" timeout 124
134 "clauses/lia/termination/indirectHO00.smt2" timeout 124
135 "clauses/lia/termination/indirectHO01.smt2" timeout 124
136 "clauses/lia/termination/indirectHO02.smt2" timeout 124
137 "clauses/lia/termination/indirectHO03.smt2" timeout 124
138 "clauses/lia/termination/McCarthy9100.smt2" 0.022040889 0
139 "clauses/lia/termination/McCarthy9101.smt2" 0.031639674 0
140 "clauses/lia/termination/McCarthy9102.smt2" 1.178099950 0
141 "clauses/lia/termination/McCarthy9103.smt2" 1.165512563 0
142 "clauses/lia/termination/toChurch00.smt2" timeout 124
143 "clauses/lia/termination/toChurch01.smt2" timeout 124
144 "clauses/lia/termination/toChurch02.smt2" timeout 124
145 "clauses/lia/termination/toChurch03.smt2" timeout 124
146 "clauses/lia/termination/up_down00.smt2" timeout 124
147 "clauses/lia/termination/up_down01.smt2" timeout 124
148 "clauses/lia/termination/up_down02.smt2" timeout 124
149 "clauses/lia/termination/up_down03.smt2" timeout 124
150 "clauses/lia/termination/up_down04.smt2" timeout 124
151 "clauses/lia/termination/up_down05.smt2" timeout 124
152 "clauses/lia/termination/up_down06.smt2" timeout 124
153 "clauses/lia/termination/up_down07.smt2" timeout 124
154 "clauses/lia/termination/x_plus_2_pow_n00.smt2" timeout 124
155 "clauses/lia/termination/x_plus_2_pow_n01.smt2" timeout 124
156 "clauses/lia/termination/x_plus_2_pow_n02.smt2" timeout 124
157 "clauses/lia/termination/x_plus_2_pow_n03.smt2" timeout 124
158 "clauses/lia/termination/x_plus_2_pow_n04.smt2" timeout 124
159 "clauses/lia/termination/zip00.smt2" 0.051856703 0
160 "clauses/lia/termination/zip01.smt2" 0.184920367 0
161 "clauses/lia/termination/zip02.smt2" timeout 124
