z3 auto {
  short: z3_auto
  graph: z3 auto
  cmd: "z3"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 0, safe, Safe
  success: 10, unsafe, Unsafe
}
timeout: 100.000000000
#
097 "clauses/lia/termination/binomial01.smt2" 0.010848156 0
095 "clauses/lia/termination/append02.smt2" 0.526540988 0
100 "clauses/lia/termination/binomial04.smt2" 0.009659729 0
101 "clauses/lia/termination/binomial05.smt2" 2.434666729 0
102 "clauses/lia/termination/CE-0CFA00.smt2" 0.007674939 0
104 "clauses/lia/termination/CE-0CFA02.smt2" 0.009279411 0
098 "clauses/lia/termination/binomial02.smt2" 1.028035402 0
103 "clauses/lia/termination/CE-0CFA01.smt2" 0.009365108 0
106 "clauses/lia/termination/CE-0CFA04.smt2" 0.022169039 0
105 "clauses/lia/termination/CE-0CFA03.smt2" 0.010152081 10
107 "clauses/lia/termination/CE-0CFA05.smt2" 0.024395577 0
108 "clauses/lia/termination/CE-1CFA00.smt2" 0.020772176 0
109 "clauses/lia/termination/CE-1CFA01.smt2" 0.021041221 0
110 "clauses/lia/termination/CE-1CFA02.smt2" 0.021094605 0
111 "clauses/lia/termination/CE-1CFA03.smt2" 0.052368865 10
113 "clauses/lia/termination/CE-1CFA05.smt2" 0.034595457 0
114 "clauses/lia/termination/CE-1CFA06.smt2" 0.015981838 0
115 "clauses/lia/termination/CE-1CFA07.smt2" 0.138745847 10
116 "clauses/lia/termination/CE-1CFA08.smt2" 0.016519441 0
112 "clauses/lia/termination/CE-1CFA04.smt2" 0.095252192 10
118 "clauses/lia/termination/CE-Jones_Bohr00.smt2" 0.076045416 0
084 "clauses/lia/termination/Ackermann02.smt2" timeout 124
117 "clauses/lia/termination/CE-1CFA09.smt2" 0.149318464 10
073 "clauses/lia/mochi/repeat4.smt2" timeout 124
072 "clauses/lia/mochi/repeat.smt2" timeout 124
099 "clauses/lia/termination/binomial03.smt2" 0.014498084 0
120 "clauses/lia/termination/CE-Jones_Bohr02.smt2" 0.024575098 0
121 "clauses/lia/termination/CE-Jones_Bohr03.smt2" 0.020714768 0
124 "clauses/lia/termination/churchNum02.smt2" 0.060270694 0
125 "clauses/lia/termination/churchNum03.smt2" 0.011967500 0
126 "clauses/lia/termination/Fibonacci00.smt2" 0.005108515 0
127 "clauses/lia/termination/Fibonacci01.smt2" 0.005971676 0
128 "clauses/lia/termination/Fibonacci02.smt2" 0.006585532 0
130 "clauses/lia/termination/indirect00.smt2" 0.005198714 0
119 "clauses/lia/termination/CE-Jones_Bohr01.smt2" 2.846168878 0
131 "clauses/lia/termination/indirect01.smt2" 0.015420619 0
132 "clauses/lia/termination/indirect02.smt2" 0.006117981 0
134 "clauses/lia/termination/indirectHO00.smt2" 0.005420338 0
122 "clauses/lia/termination/CE-Jones_Bohr04.smt2" 0.283403784 10
133 "clauses/lia/termination/indirect03.smt2" 0.006203625 0
135 "clauses/lia/termination/indirectHO01.smt2" 0.009962904 0
136 "clauses/lia/termination/indirectHO02.smt2" 0.007814510 0
137 "clauses/lia/termination/indirectHO03.smt2" 0.007716658 0
138 "clauses/lia/termination/McCarthy9100.smt2" 0.004368722 0
139 "clauses/lia/termination/McCarthy9101.smt2" 0.005103505 0
140 "clauses/lia/termination/McCarthy9102.smt2" 0.005931450 0
141 "clauses/lia/termination/McCarthy9103.smt2" 0.005226806 0
143 "clauses/lia/termination/toChurch01.smt2" 0.009111758 0
144 "clauses/lia/termination/toChurch02.smt2" 0.009082455 0
145 "clauses/lia/termination/toChurch03.smt2" 0.015520330 0
129 "clauses/lia/termination/Fibonacci03.smt2" 0.008270106 0
146 "clauses/lia/termination/up_down00.smt2" 0.008321879 0
147 "clauses/lia/termination/up_down01.smt2" 0.007078193 0
148 "clauses/lia/termination/up_down02.smt2" 0.007493216 0
150 "clauses/lia/termination/up_down04.smt2" 0.006442656 0
123 "clauses/lia/termination/churchNum01.smt2" 2.808237729 0
149 "clauses/lia/termination/up_down03.smt2" 0.006176567 0
151 "clauses/lia/termination/up_down05.smt2" 0.006706905 0
152 "clauses/lia/termination/up_down06.smt2" 0.008613324 0
154 "clauses/lia/termination/x_plus_2_pow_n00.smt2" 0.008313915 0
153 "clauses/lia/termination/up_down07.smt2" 0.008340191 0
156 "clauses/lia/termination/x_plus_2_pow_n02.smt2" 0.006658343 0
155 "clauses/lia/termination/x_plus_2_pow_n01.smt2" 0.010955161 0
157 "clauses/lia/termination/x_plus_2_pow_n03.smt2" 0.006704451 0
159 "clauses/lia/termination/zip00.smt2" 0.005298802 0
158 "clauses/lia/termination/x_plus_2_pow_n04.smt2" 0.012128592 0
161 "clauses/lia/termination/zip02.smt2" 0.007805553 0
160 "clauses/lia/termination/zip01.smt2" 0.007007832 0
086 "clauses/lia/termination/Ackermann04.smt2" timeout 124
142 "clauses/lia/termination/toChurch00.smt2" 0.025638201 0
