z3 spacer {
  short: z3_spacer
  graph: z3 spacer
  cmd: "z3 fixedpoint.engine=spacer"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
096 "clauses/lia/termination/binomial00.smt2" 0.028960420 0
097 "clauses/lia/termination/binomial01.smt2" 0.034040986 0
099 "clauses/lia/termination/binomial03.smt2" 0.039168001 0
100 "clauses/lia/termination/binomial04.smt2" error 2
098 "clauses/lia/termination/binomial02.smt2" 1.824209362 0
101 "clauses/lia/termination/binomial05.smt2" 2.517851389 0
102 "clauses/lia/termination/CE-0CFA00.smt2" error 2
104 "clauses/lia/termination/CE-0CFA02.smt2" error 2
105 "clauses/lia/termination/CE-0CFA03.smt2" 0.015761092 10
103 "clauses/lia/termination/CE-0CFA01.smt2" error 2
106 "clauses/lia/termination/CE-0CFA04.smt2" error 2
107 "clauses/lia/termination/CE-0CFA05.smt2" 0.064007171 0
108 "clauses/lia/termination/CE-1CFA00.smt2" error 2
110 "clauses/lia/termination/CE-1CFA02.smt2" error 2
109 "clauses/lia/termination/CE-1CFA01.smt2" error 2
111 "clauses/lia/termination/CE-1CFA03.smt2" 0.081302602 10
112 "clauses/lia/termination/CE-1CFA04.smt2" 0.174605855 10
084 "clauses/lia/termination/Ackermann02.smt2" 18.950030725 0
114 "clauses/lia/termination/CE-1CFA06.smt2" error 2
115 "clauses/lia/termination/CE-1CFA07.smt2" 0.363846708 10
092 "clauses/lia/termination/alias_partial03.smt2" 0.027624319 0
116 "clauses/lia/termination/CE-1CFA08.smt2" error 2
117 "clauses/lia/termination/CE-1CFA09.smt2" 0.344306732 10
113 "clauses/lia/termination/CE-1CFA05.smt2" 0.085081981 0
118 "clauses/lia/termination/CE-Jones_Bohr00.smt2" error 2
120 "clauses/lia/termination/CE-Jones_Bohr02.smt2" 0.074739972 0
121 "clauses/lia/termination/CE-Jones_Bohr03.smt2" error 2
122 "clauses/lia/termination/CE-Jones_Bohr04.smt2" 0.287177630 10
123 "clauses/lia/termination/churchNum01.smt2" error 2
119 "clauses/lia/termination/CE-Jones_Bohr01.smt2" 4.744788052 0
125 "clauses/lia/termination/churchNum03.smt2" error 2
126 "clauses/lia/termination/Fibonacci00.smt2" error 2
127 "clauses/lia/termination/Fibonacci01.smt2" error 2
128 "clauses/lia/termination/Fibonacci02.smt2" error 2
124 "clauses/lia/termination/churchNum02.smt2" 0.177076559 0
129 "clauses/lia/termination/Fibonacci03.smt2" error 2
130 "clauses/lia/termination/indirect00.smt2" error 2
131 "clauses/lia/termination/indirect01.smt2" error 2
132 "clauses/lia/termination/indirect02.smt2" error 2
133 "clauses/lia/termination/indirect03.smt2" error 2
134 "clauses/lia/termination/indirectHO00.smt2" error 2
136 "clauses/lia/termination/indirectHO02.smt2" error 2
135 "clauses/lia/termination/indirectHO01.smt2" error 2
137 "clauses/lia/termination/indirectHO03.smt2" error 2
138 "clauses/lia/termination/McCarthy9100.smt2" error 2
139 "clauses/lia/termination/McCarthy9101.smt2" error 2
141 "clauses/lia/termination/McCarthy9103.smt2" error 2
140 "clauses/lia/termination/McCarthy9102.smt2" error 2
143 "clauses/lia/termination/toChurch01.smt2" error 2
144 "clauses/lia/termination/toChurch02.smt2" error 2
145 "clauses/lia/termination/toChurch03.smt2" error 2
142 "clauses/lia/termination/toChurch00.smt2" error 2
146 "clauses/lia/termination/toChurch04.smt2" error 2
147 "clauses/lia/termination/toChurch05.smt2" error 2
148 "clauses/lia/termination/up_down00.smt2" error 2
150 "clauses/lia/termination/up_down02.smt2" error 2
151 "clauses/lia/termination/up_down03.smt2" error 2
149 "clauses/lia/termination/up_down01.smt2" error 2
153 "clauses/lia/termination/up_down05.smt2" error 2
152 "clauses/lia/termination/up_down04.smt2" error 2
154 "clauses/lia/termination/up_down06.smt2" error 2
155 "clauses/lia/termination/up_down07.smt2" error 2
156 "clauses/lia/termination/x_plus_2_pow_n00.smt2" error 2
158 "clauses/lia/termination/x_plus_2_pow_n02.smt2" error 2
159 "clauses/lia/termination/x_plus_2_pow_n03.smt2" error 2
157 "clauses/lia/termination/x_plus_2_pow_n01.smt2" error 2
161 "clauses/lia/termination/zip00.smt2" error 2
160 "clauses/lia/termination/x_plus_2_pow_n04.smt2" error 2
162 "clauses/lia/termination/zip01.smt2" error 2
163 "clauses/lia/termination/zip02.smt2" error 2
086 "clauses/lia/termination/Ackermann04.smt2" 20.975331506 0
022 "clauses/lia/mochi/bsearch.smt2" error 2
087 "clauses/lia/termination/Ackermann05.smt2" error 2
