z3 duality {
  short: z3_duality
  graph: z3 duality
  cmd: "z3 fixedpoint.engine=duality"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
095 "clauses/lia/termination/append02.smt2" 0.526769035 0
096 "clauses/lia/termination/binomial00.smt2" 0.136854261 0
097 "clauses/lia/termination/binomial01.smt2" 0.134642825 0
099 "clauses/lia/termination/binomial03.smt2" 0.166615471 0
100 "clauses/lia/termination/binomial04.smt2" 0.345536854 0
098 "clauses/lia/termination/binomial02.smt2" 6.113826720 0
101 "clauses/lia/termination/binomial05.smt2" 0.682093951 0
102 "clauses/lia/termination/CE-0CFA00.smt2" 0.023364726 0
104 "clauses/lia/termination/CE-0CFA02.smt2" 0.140443250 0
105 "clauses/lia/termination/CE-0CFA03.smt2" 0.881744144 10
103 "clauses/lia/termination/CE-0CFA01.smt2" 0.144230001 0
106 "clauses/lia/termination/CE-0CFA04.smt2" 0.158991738 0
107 "clauses/lia/termination/CE-0CFA05.smt2" 0.191336793 0
108 "clauses/lia/termination/CE-1CFA00.smt2" 0.256992002 0
110 "clauses/lia/termination/CE-1CFA02.smt2" 0.257230453 0
109 "clauses/lia/termination/CE-1CFA01.smt2" 0.260345739 0
111 "clauses/lia/termination/CE-1CFA03.smt2" 31.987676926 10
114 "clauses/lia/termination/CE-1CFA06.smt2" 0.095290154 0
088 "clauses/lia/termination/Ackermann06.smt2" timeout 124
087 "clauses/lia/termination/Ackermann05.smt2" timeout 124
092 "clauses/lia/termination/alias_partial03.smt2" 0.111492207 0
116 "clauses/lia/termination/CE-1CFA08.smt2" 0.071499073 0
113 "clauses/lia/termination/CE-1CFA05.smt2" 0.222569264 0
118 "clauses/lia/termination/CE-Jones_Bohr00.smt2" 2.348576315 0
086 "clauses/lia/termination/Ackermann04.smt2" timeout 124
120 "clauses/lia/termination/CE-Jones_Bohr02.smt2" 0.104635686 0
121 "clauses/lia/termination/CE-Jones_Bohr03.smt2" 0.675355309 0
112 "clauses/lia/termination/CE-1CFA04.smt2" timeout 124
125 "clauses/lia/termination/churchNum03.smt2" 0.047064529 0
126 "clauses/lia/termination/Fibonacci00.smt2" 0.013860328 0
127 "clauses/lia/termination/Fibonacci01.smt2" 0.015655045 0
128 "clauses/lia/termination/Fibonacci02.smt2" 0.090528086 0
129 "clauses/lia/termination/Fibonacci03.smt2" 0.087132864 0
130 "clauses/lia/termination/indirect00.smt2" 0.067776768 0
124 "clauses/lia/termination/churchNum02.smt2" 0.439101534 0
131 "clauses/lia/termination/indirect01.smt2" 0.783458715 0
132 "clauses/lia/termination/indirect02.smt2" 0.020731490 0
133 "clauses/lia/termination/indirect03.smt2" 0.117493424 0
134 "clauses/lia/termination/indirectHO00.smt2" 0.056880039 0
136 "clauses/lia/termination/indirectHO02.smt2" 0.026180335 0
135 "clauses/lia/termination/indirectHO01.smt2" 0.262193778 0
138 "clauses/lia/termination/McCarthy9100.smt2" 0.014417227 0
137 "clauses/lia/termination/indirectHO03.smt2" 0.174253170 0
139 "clauses/lia/termination/McCarthy9101.smt2" 0.021717269 0
140 "clauses/lia/termination/McCarthy9102.smt2" 0.090914040 0
141 "clauses/lia/termination/McCarthy9103.smt2" 0.090806554 0
143 "clauses/lia/termination/toChurch01.smt2" 0.206489352 0
115 "clauses/lia/termination/CE-1CFA07.smt2" timeout 124
144 "clauses/lia/termination/toChurch02.smt2" 0.230992461 0
145 "clauses/lia/termination/toChurch03.smt2" 0.095447416 0
142 "clauses/lia/termination/toChurch00.smt2" 0.969381494 0
146 "clauses/lia/termination/toChurch04.smt2" 0.073726568 0
117 "clauses/lia/termination/CE-1CFA09.smt2" timeout 124
147 "clauses/lia/termination/toChurch05.smt2" 0.496193827 0
148 "clauses/lia/termination/up_down00.smt2" 0.054713562 0
150 "clauses/lia/termination/up_down02.smt2" 0.125126065 0
151 "clauses/lia/termination/up_down03.smt2" 0.070462698 0
149 "clauses/lia/termination/up_down01.smt2" 0.077197016 0
153 "clauses/lia/termination/up_down05.smt2" 0.121403296 0
152 "clauses/lia/termination/up_down04.smt2" 0.055901348 0
154 "clauses/lia/termination/up_down06.smt2" 0.073343156 0
156 "clauses/lia/termination/x_plus_2_pow_n00.smt2" 0.155705540 0
155 "clauses/lia/termination/up_down07.smt2" 0.045408638 0
158 "clauses/lia/termination/x_plus_2_pow_n02.smt2" 0.020585540 0
159 "clauses/lia/termination/x_plus_2_pow_n03.smt2" 0.023594720 0
161 "clauses/lia/termination/zip00.smt2" 0.041706747 0
162 "clauses/lia/termination/zip01.smt2" 0.045271677 0
160 "clauses/lia/termination/x_plus_2_pow_n04.smt2" 0.051948218 0
157 "clauses/lia/termination/x_plus_2_pow_n01.smt2" 0.620683240 0
163 "clauses/lia/termination/zip02.smt2" 0.149830587 0
122 "clauses/lia/termination/CE-Jones_Bohr04.smt2" timeout 124
119 "clauses/lia/termination/CE-Jones_Bohr01.smt2" timeout 124
123 "clauses/lia/termination/churchNum01.smt2" timeout 124
