z3 spacer EA {
  short: z3_spacer_ea
  graph: z3 spacer EA
  cmd: "z3 fixedpoint.engine=spacer"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
089 "clauses/lia/termination/alias_partial00.smt2" 0.015191139 0
090 "clauses/lia/termination/alias_partial01.smt2" 0.007318557 0
091 "clauses/lia/termination/alias_partial02.smt2" 0.007834068 0
092 "clauses/lia/termination/alias_partial03.smt2" 0.014296516 0
093 "clauses/lia/termination/append00.smt2" 0.007957963 0
094 "clauses/lia/termination/append01.smt2" 0.008758699 0
095 "clauses/lia/termination/append02.smt2" 0.014723688 0
096 "clauses/lia/termination/binomial00.smt2" 0.010482258 0
097 "clauses/lia/termination/binomial01.smt2" 0.012769934 0
098 "clauses/lia/termination/binomial02.smt2" 0.058598386 0
099 "clauses/lia/termination/binomial03.smt2" 0.018891114 0
100 "clauses/lia/termination/binomial04.smt2" 0.007758733 0
101 "clauses/lia/termination/binomial05.smt2" 0.051283786 0
102 "clauses/lia/termination/CE-0CFA00.smt2" 0.005924743 0
103 "clauses/lia/termination/CE-0CFA01.smt2" 0.010652191 0
104 "clauses/lia/termination/CE-0CFA02.smt2" 0.011194931 0
105 "clauses/lia/termination/CE-0CFA03.smt2" 0.007869194 10
106 "clauses/lia/termination/CE-0CFA04.smt2" 0.017634443 0
107 "clauses/lia/termination/CE-0CFA05.smt2" 0.014162602 0
108 "clauses/lia/termination/CE-1CFA00.smt2" 0.011468999 0
109 "clauses/lia/termination/CE-1CFA01.smt2" 0.011393262 0
110 "clauses/lia/termination/CE-1CFA02.smt2" 0.011451027 0
111 "clauses/lia/termination/CE-1CFA03.smt2" 0.010057190 10
112 "clauses/lia/termination/CE-1CFA04.smt2" 0.022813497 10
113 "clauses/lia/termination/CE-1CFA05.smt2" 0.022453869 0
114 "clauses/lia/termination/CE-1CFA06.smt2" 0.011304075 0
115 "clauses/lia/termination/CE-1CFA07.smt2" 0.019578493 10
116 "clauses/lia/termination/CE-1CFA08.smt2" 0.015987755 0
117 "clauses/lia/termination/CE-1CFA09.smt2" 0.019462886 10
118 "clauses/lia/termination/CE-Jones_Bohr00.smt2" 0.009820707 0
119 "clauses/lia/termination/CE-Jones_Bohr01.smt2" 0.030632889 0
120 "clauses/lia/termination/CE-Jones_Bohr02.smt2" 0.013281921 0
121 "clauses/lia/termination/CE-Jones_Bohr03.smt2" 0.007555343 0
122 "clauses/lia/termination/CE-Jones_Bohr04.smt2" 0.013757427 10
123 "clauses/lia/termination/churchNum01.smt2" 0.069052151 0
124 "clauses/lia/termination/churchNum02.smt2" 0.019802133 0
125 "clauses/lia/termination/churchNum03.smt2" 0.009874335 0
126 "clauses/lia/termination/Fibonacci00.smt2" 0.005109996 0
127 "clauses/lia/termination/Fibonacci01.smt2" 0.004605078 0
128 "clauses/lia/termination/Fibonacci02.smt2" 0.004842824 0
129 "clauses/lia/termination/Fibonacci03.smt2" 0.004910762 0
130 "clauses/lia/termination/indirect00.smt2" 0.005154728 0
131 "clauses/lia/termination/indirect01.smt2" 0.009308387 0
132 "clauses/lia/termination/indirect02.smt2" 0.006048290 0
133 "clauses/lia/termination/indirect03.smt2" 0.005676651 0
134 "clauses/lia/termination/indirectHO00.smt2" 0.005043240 0
135 "clauses/lia/termination/indirectHO01.smt2" 0.008949210 0
136 "clauses/lia/termination/indirectHO02.smt2" 0.005527843 0
137 "clauses/lia/termination/indirectHO03.smt2" 0.006265376 0
138 "clauses/lia/termination/McCarthy9100.smt2" 0.005633879 0
139 "clauses/lia/termination/McCarthy9101.smt2" 0.005018551 0
140 "clauses/lia/termination/McCarthy9102.smt2" 0.004980795 0
141 "clauses/lia/termination/McCarthy9103.smt2" 0.005064764 0
142 "clauses/lia/termination/toChurch00.smt2" 0.011722274 0
143 "clauses/lia/termination/toChurch01.smt2" 0.007255593 0
144 "clauses/lia/termination/toChurch02.smt2" 0.007311875 0
145 "clauses/lia/termination/toChurch03.smt2" 0.009560303 0
