z3 duality EA {
  short: z3_duality_ea
  graph: z3 duality EA
  cmd: "z3 fixedpoint.engine=duality"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
042 "clauses/lia/mochi/fact_exn.smt2" error 2
043 "clauses/lia/mochi/fib.smt2" error 2
044 "clauses/lia/mochi/file.smt2" error 2
045 "clauses/lia/mochi/flow.smt2" 0.012981536 0
046 "clauses/lia/mochi/fxx.smt2" 0.009142026 0
047 "clauses/lia/mochi/gib.smt2" error 2
048 "clauses/lia/mochi/gib2.smt2" error 2
049 "clauses/lia/mochi/hors.smt2" error 2
050 "clauses/lia/mochi/hrec.smt2" error 2
051 "clauses/lia/mochi/inc.smt2" error 2
052 "clauses/lia/mochi/inc3.smt2" error 2
053 "clauses/lia/mochi/inc4.smt2" error 2
054 "clauses/lia/mochi/intro1.smt2" error 2
055 "clauses/lia/mochi/intro2.smt2" error 2
056 "clauses/lia/mochi/intro3.smt2" error 2
057 "clauses/lia/mochi/kmp.smt2" error 2
058 "clauses/lia/mochi/lock.smt2" error 2
059 "clauses/lia/mochi/map.smt2" 0.028795941 0
060 "clauses/lia/mochi/map_map.smt2" error 2
061 "clauses/lia/mochi/max.smt2" error 2
062 "clauses/lia/mochi/mc91.smt2" 0.045105615 0
063 "clauses/lia/mochi/mc91_95.smt2" error 2
064 "clauses/lia/mochi/mc91_98.smt2" error 2
065 "clauses/lia/mochi/mc91_99.smt2" error 2
066 "clauses/lia/mochi/mc91_cps.smt2" error 2
067 "clauses/lia/mochi/mult.smt2" error 2
068 "clauses/lia/mochi/neg1.smt2" 0.017725369 10
069 "clauses/lia/mochi/neg2.smt2" error 2
070 "clauses/lia/mochi/queen.smt2" error 2
071 "clauses/lia/mochi/recursive.smt2" error 2
072 "clauses/lia/mochi/repeat.smt2" error 2
073 "clauses/lia/mochi/repeat4.smt2" error 2
074 "clauses/lia/mochi/sigma_sum.smt2" error 2
075 "clauses/lia/mochi/sum.smt2" error 2
076 "clauses/lia/mochi/sum2.smt2" error 2
077 "clauses/lia/mochi/sum3.smt2" error 2
078 "clauses/lia/mochi/sum4.smt2" error 2
079 "clauses/lia/mochi/sum_cps.smt2" error 2
080 "clauses/lia/mochi/sum_intro.smt2" error 2
081 "clauses/lia/mochi/twice.smt2" error 2
082 "clauses/lia/termination/Ackermann00.smt2" 0.044716653 0
083 "clauses/lia/termination/Ackermann01.smt2" 0.051706387 0
084 "clauses/lia/termination/Ackermann02.smt2" error 2
085 "clauses/lia/termination/Ackermann03.smt2" error 2
086 "clauses/lia/termination/Ackermann04.smt2" error 2
087 "clauses/lia/termination/Ackermann05.smt2" error 2
088 "clauses/lia/termination/Ackermann06.smt2" error 2
089 "clauses/lia/termination/alias_partial00.smt2" error 2
090 "clauses/lia/termination/alias_partial01.smt2" error 2
091 "clauses/lia/termination/alias_partial02.smt2" error 2
092 "clauses/lia/termination/alias_partial03.smt2" error 2
093 "clauses/lia/termination/append00.smt2" error 2
094 "clauses/lia/termination/append01.smt2" error 2
095 "clauses/lia/termination/append02.smt2" error 2
096 "clauses/lia/termination/binomial00.smt2" error 2
097 "clauses/lia/termination/binomial01.smt2" error 2
098 "clauses/lia/termination/binomial02.smt2" error 2
099 "clauses/lia/termination/binomial03.smt2" error 2
100 "clauses/lia/termination/binomial04.smt2" 0.075846991 0
101 "clauses/lia/termination/binomial05.smt2" error 2
102 "clauses/lia/termination/CE-0CFA00.smt2" 0.046855894 0
103 "clauses/lia/termination/CE-0CFA01.smt2" error 2
104 "clauses/lia/termination/CE-0CFA02.smt2" error 2
105 "clauses/lia/termination/CE-0CFA03.smt2" 0.022505745 10
106 "clauses/lia/termination/CE-0CFA04.smt2" 0.152930961 0
107 "clauses/lia/termination/CE-0CFA05.smt2" 0.140572604 0
108 "clauses/lia/termination/CE-1CFA00.smt2" error 2
109 "clauses/lia/termination/CE-1CFA01.smt2" error 2
110 "clauses/lia/termination/CE-1CFA02.smt2" error 2
111 "clauses/lia/termination/CE-1CFA03.smt2" 0.033058742 10
112 "clauses/lia/termination/CE-1CFA04.smt2" 0.071389940 10
113 "clauses/lia/termination/CE-1CFA05.smt2" 0.193654561 0
114 "clauses/lia/termination/CE-1CFA06.smt2" 0.115831910 0
115 "clauses/lia/termination/CE-1CFA07.smt2" error 2
116 "clauses/lia/termination/CE-1CFA08.smt2" 0.138529567 0
117 "clauses/lia/termination/CE-1CFA09.smt2" error 2
118 "clauses/lia/termination/CE-Jones_Bohr00.smt2" 0.127309215 0
119 "clauses/lia/termination/CE-Jones_Bohr01.smt2" error 2
120 "clauses/lia/termination/CE-Jones_Bohr02.smt2" error 2
121 "clauses/lia/termination/CE-Jones_Bohr03.smt2" 0.076786522 0
122 "clauses/lia/termination/CE-Jones_Bohr04.smt2" error 2
123 "clauses/lia/termination/churchNum01.smt2" error 2
124 "clauses/lia/termination/churchNum02.smt2" error 2
125 "clauses/lia/termination/churchNum03.smt2" 0.056182457 0
126 "clauses/lia/termination/Fibonacci00.smt2" 0.021543949 0
127 "clauses/lia/termination/Fibonacci01.smt2" 0.025033330 0
128 "clauses/lia/termination/Fibonacci02.smt2" 0.045487500 0
129 "clauses/lia/termination/Fibonacci03.smt2" 0.040465747 0
130 "clauses/lia/termination/indirect00.smt2" 0.040140904 0
131 "clauses/lia/termination/indirect01.smt2" 0.108661476 0
132 "clauses/lia/termination/indirect02.smt2" 0.043269248 0
133 "clauses/lia/termination/indirect03.smt2" 0.055935988 0
134 "clauses/lia/termination/indirectHO00.smt2" 0.033662929 0
135 "clauses/lia/termination/indirectHO01.smt2" 0.080341043 0
136 "clauses/lia/termination/indirectHO02.smt2" 0.051517483 0
137 "clauses/lia/termination/indirectHO03.smt2" 0.064981264 0
138 "clauses/lia/termination/McCarthy9100.smt2" 0.022216525 0
139 "clauses/lia/termination/McCarthy9101.smt2" 0.026255349 0
140 "clauses/lia/termination/McCarthy9102.smt2" 0.041045521 0
141 "clauses/lia/termination/McCarthy9103.smt2" 0.050175384 0
142 "clauses/lia/termination/toChurch00.smt2" 0.148090577 0
143 "clauses/lia/termination/toChurch01.smt2" 0.056554968 0
144 "clauses/lia/termination/toChurch02.smt2" 0.077056816 0
145 "clauses/lia/termination/toChurch03.smt2" 0.092459732 0
146 "clauses/lia/termination/toChurch04.smt2" 0.109052318 0
147 "clauses/lia/termination/toChurch05.smt2" 0.135311448 0
148 "clauses/lia/termination/up_down00.smt2" 0.041439648 0
149 "clauses/lia/termination/up_down01.smt2" 0.044911093 0
150 "clauses/lia/termination/up_down02.smt2" 0.052450910 0
151 "clauses/lia/termination/up_down03.smt2" 0.043723974 0
152 "clauses/lia/termination/up_down04.smt2" 0.045480747 0
153 "clauses/lia/termination/up_down05.smt2" 0.052072480 0
154 "clauses/lia/termination/up_down06.smt2" 0.077260869 0
155 "clauses/lia/termination/up_down07.smt2" 0.069435923 0
156 "clauses/lia/termination/x_plus_2_pow_n00.smt2" 0.051751897 0
157 "clauses/lia/termination/x_plus_2_pow_n01.smt2" 0.105108211 0
158 "clauses/lia/termination/x_plus_2_pow_n02.smt2" 0.041691083 0
159 "clauses/lia/termination/x_plus_2_pow_n03.smt2" 0.047382141 0
160 "clauses/lia/termination/x_plus_2_pow_n04.smt2" 0.056715019 0
161 "clauses/lia/termination/zip00.smt2" 0.035300603 0
162 "clauses/lia/termination/zip01.smt2" 0.042675631 0
163 "clauses/lia/termination/zip02.smt2" 0.053681859 0
