FpIce Inactive Red {
  short: fpice_inactive_red
  graph: FpIce Inactive Red
  cmd: "fpice infer --vc-reduction"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "--- Correct Type found" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
elif [ `cat $err | grep -e "Failure.*is not valid\!" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
097 "caml/lia/termination/binomial01.ml" 0.228727187 0
098 "caml/lia/termination/binomial02.ml" timeout 124
099 "caml/lia/termination/binomial03.ml" 0.375887653 0
100 "caml/lia/termination/binomial04.ml" timeout 124
101 "caml/lia/termination/binomial05.ml" timeout 124
102 "caml/lia/termination/CE-0CFA00.ml" timeout 124
103 "caml/lia/termination/CE-0CFA01.ml" timeout 124
104 "caml/lia/termination/CE-0CFA02.ml" timeout 124
105 "caml/lia/termination/CE-0CFA03.ml" timeout 124
106 "caml/lia/termination/CE-0CFA04.ml" timeout 124
107 "caml/lia/termination/CE-0CFA05.ml" timeout 124
108 "caml/lia/termination/CE-1CFA00.ml" timeout 124
109 "caml/lia/termination/CE-1CFA01.ml" timeout 124
110 "caml/lia/termination/CE-1CFA02.ml" timeout 124
111 "caml/lia/termination/CE-1CFA03.ml" timeout 124
112 "caml/lia/termination/CE-1CFA04.ml" timeout 124
113 "caml/lia/termination/CE-1CFA05.ml" timeout 124
114 "caml/lia/termination/CE-1CFA06.ml" timeout 124
115 "caml/lia/termination/CE-1CFA07.ml" timeout 124
116 "caml/lia/termination/CE-1CFA08.ml" timeout 124
117 "caml/lia/termination/CE-1CFA09.ml" timeout 124
118 "caml/lia/termination/CE-Jones_Bohr00.ml" timeout 124
119 "caml/lia/termination/CE-Jones_Bohr01.ml" timeout 124
120 "caml/lia/termination/CE-Jones_Bohr02.ml" timeout 124
121 "caml/lia/termination/CE-Jones_Bohr03.ml" timeout 124
122 "caml/lia/termination/CE-Jones_Bohr04.ml" timeout 124
123 "caml/lia/termination/churchNum01.ml" timeout 124
124 "caml/lia/termination/churchNum02.ml" timeout 124
125 "caml/lia/termination/churchNum03.ml" 0.223693646 0
126 "caml/lia/termination/Fibonacci00.ml" 0.023279035 0
127 "caml/lia/termination/Fibonacci01.ml" 0.032404381 0
128 "caml/lia/termination/Fibonacci02.ml" 0.970137353 0
129 "caml/lia/termination/Fibonacci03.ml" 1.189274498 0
130 "caml/lia/termination/indirect00.ml" timeout 124
131 "caml/lia/termination/indirect01.ml" timeout 124
132 "caml/lia/termination/indirect02.ml" timeout 124
133 "caml/lia/termination/indirect03.ml" timeout 124
134 "caml/lia/termination/indirectHO00.ml" timeout 124
135 "caml/lia/termination/indirectHO01.ml" timeout 124
136 "caml/lia/termination/indirectHO02.ml" timeout 124
137 "caml/lia/termination/indirectHO03.ml" timeout 124
138 "caml/lia/termination/McCarthy9100.ml" 0.021279983 0
139 "caml/lia/termination/McCarthy9101.ml" 0.032440302 0
140 "caml/lia/termination/McCarthy9102.ml" 1.114039798 0
141 "caml/lia/termination/McCarthy9103.ml" 0.936296415 0
142 "caml/lia/termination/toChurch00.ml" timeout 124
143 "caml/lia/termination/toChurch01.ml" timeout 124
144 "caml/lia/termination/toChurch02.ml" timeout 124
145 "caml/lia/termination/toChurch03.ml" timeout 124
146 "caml/lia/termination/up_down00.ml" timeout 124
147 "caml/lia/termination/up_down01.ml" timeout 124
148 "caml/lia/termination/up_down02.ml" timeout 124
149 "caml/lia/termination/up_down03.ml" timeout 124
150 "caml/lia/termination/up_down04.ml" timeout 124
151 "caml/lia/termination/up_down05.ml" timeout 124
152 "caml/lia/termination/up_down06.ml" timeout 124
153 "caml/lia/termination/up_down07.ml" timeout 124
154 "caml/lia/termination/x_plus_2_pow_n00.ml" timeout 124
155 "caml/lia/termination/x_plus_2_pow_n01.ml" timeout 124
156 "caml/lia/termination/x_plus_2_pow_n02.ml" timeout 124
157 "caml/lia/termination/x_plus_2_pow_n03.ml" timeout 124
158 "caml/lia/termination/x_plus_2_pow_n04.ml" timeout 124
159 "caml/lia/termination/zip00.ml" 0.049779963 0
160 "caml/lia/termination/zip01.ml" 0.189015116 0
161 "caml/lia/termination/zip02.ml" timeout 124
