eldarica EA Red {
  short: eld_ea_red
  graph: eldarica EA Red
  cmd: "eldarica -ssol"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check_eld on --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
077 "clauses/lia_ea_red/mochi/sum3.smt2" 1.101046745 0
078 "clauses/lia_ea_red/mochi/sum4.smt2" 1.323137423 0
079 "clauses/lia_ea_red/mochi/sum_cps.smt2" 1.013173319 0
080 "clauses/lia_ea_red/mochi/sum_intro.smt2" 0.986032452 0
081 "clauses/lia_ea_red/mochi/twice.smt2" 0.740443223 0
082 "clauses/lia_ea_red/termination/Ackermann00.smt2" 0.792161738 0
083 "clauses/lia_ea_red/termination/Ackermann01.smt2" 0.803719641 0
084 "clauses/lia_ea_red/termination/Ackermann02.smt2" 1.357346549 0
085 "clauses/lia_ea_red/termination/Ackermann03.smt2" 0.755649890 0
086 "clauses/lia_ea_red/termination/Ackermann04.smt2" 1.394785628 0
087 "clauses/lia_ea_red/termination/Ackermann05.smt2" 1.488409168 0
088 "clauses/lia_ea_red/termination/Ackermann06.smt2" 1.341948281 0
089 "clauses/lia_ea_red/termination/alias_partial00.smt2" 0.946098202 0
090 "clauses/lia_ea_red/termination/alias_partial01.smt2" 0.761566368 0
091 "clauses/lia_ea_red/termination/alias_partial02.smt2" 0.759666799 0
092 "clauses/lia_ea_red/termination/alias_partial03.smt2" 0.994336206 0
093 "clauses/lia_ea_red/termination/append00.smt2" 0.758076598 0
094 "clauses/lia_ea_red/termination/append01.smt2" 0.748972126 0
095 "clauses/lia_ea_red/termination/append02.smt2" 1.004295234 0
096 "clauses/lia_ea_red/termination/binomial00.smt2" 0.761252551 0
097 "clauses/lia_ea_red/termination/binomial01.smt2" 0.752729971 0
098 "clauses/lia_ea_red/termination/binomial02.smt2" 1.400188574 0
099 "clauses/lia_ea_red/termination/binomial03.smt2" 0.760371310 0
100 "clauses/lia_ea_red/termination/binomial04.smt2" 0.905198613 0
101 "clauses/lia_ea_red/termination/binomial05.smt2" 1.443210588 0
102 "clauses/lia_ea_red/termination/CE-0CFA00.smt2" 0.757869516 0
103 "clauses/lia_ea_red/termination/CE-0CFA01.smt2" 0.768656447 0
104 "clauses/lia_ea_red/termination/CE-0CFA02.smt2" 0.747048402 0
105 "clauses/lia_ea_red/termination/CE-0CFA03.smt2" 0.905610617 10
106 "clauses/lia_ea_red/termination/CE-0CFA04.smt2" 0.751760613 0
107 "clauses/lia_ea_red/termination/CE-0CFA05.smt2" 0.750682333 0
108 "clauses/lia_ea_red/termination/CE-1CFA00.smt2" 1.009464541 0
109 "clauses/lia_ea_red/termination/CE-1CFA01.smt2" 1.004340880 0
110 "clauses/lia_ea_red/termination/CE-1CFA02.smt2" 1.067916305 0
111 "clauses/lia_ea_red/termination/CE-1CFA03.smt2" 1.003735026 10
112 "clauses/lia_ea_red/termination/CE-1CFA04.smt2" 1.977213782 10
113 "clauses/lia_ea_red/termination/CE-1CFA05.smt2" 0.810918937 0
114 "clauses/lia_ea_red/termination/CE-1CFA06.smt2" 0.804918697 0
115 "clauses/lia_ea_red/termination/CE-1CFA07.smt2" 1.080997778 10
116 "clauses/lia_ea_red/termination/CE-1CFA08.smt2" 0.803821744 0
117 "clauses/lia_ea_red/termination/CE-1CFA09.smt2" 1.068686075 10
118 "clauses/lia_ea_red/termination/CE-Jones_Bohr00.smt2" 0.782794956 0
119 "clauses/lia_ea_red/termination/CE-Jones_Bohr01.smt2" 1.262201556 0
120 "clauses/lia_ea_red/termination/CE-Jones_Bohr02.smt2" 0.767175833 0
121 "clauses/lia_ea_red/termination/CE-Jones_Bohr03.smt2" 0.771057714 0
122 "clauses/lia_ea_red/termination/CE-Jones_Bohr04.smt2" 1.218952910 10
123 "clauses/lia_ea_red/termination/churchNum01.smt2" 1.852403790 0
124 "clauses/lia_ea_red/termination/churchNum02.smt2" 0.852776851 0
125 "clauses/lia_ea_red/termination/churchNum03.smt2" 0.747968235 0
126 "clauses/lia_ea_red/termination/Fibonacci00.smt2" 0.835408497 0
127 "clauses/lia_ea_red/termination/Fibonacci01.smt2" 0.778444104 0
128 "clauses/lia_ea_red/termination/Fibonacci02.smt2" 0.862830236 0
129 "clauses/lia_ea_red/termination/Fibonacci03.smt2" 0.873638466 0
130 "clauses/lia_ea_red/termination/indirect00.smt2" 0.782004845 0
131 "clauses/lia_ea_red/termination/indirect01.smt2" 1.830568000 0
132 "clauses/lia_ea_red/termination/indirect02.smt2" 0.784005697 0
133 "clauses/lia_ea_red/termination/indirect03.smt2" 0.867932559 0
134 "clauses/lia_ea_red/termination/indirectHO00.smt2" 0.816792400 0
135 "clauses/lia_ea_red/termination/indirectHO01.smt2" 1.455080034 0
136 "clauses/lia_ea_red/termination/indirectHO02.smt2" 0.788020885 0
