hoice Red EA {
  short: hoice_red_ea
  graph: hoice Red EA
  cmd: "hoice"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
090 "clauses/lia/termination/alias_partial01.smt2" 0.008712346 0
091 "clauses/lia/termination/alias_partial02.smt2" 0.008219848 0
092 "clauses/lia/termination/alias_partial03.smt2" 0.009518073 0
093 "clauses/lia/termination/append00.smt2" 0.008320341 0
094 "clauses/lia/termination/append01.smt2" 0.008121519 0
095 "clauses/lia/termination/append02.smt2" 0.009910244 0
096 "clauses/lia/termination/binomial00.smt2" 0.008401896 0
097 "clauses/lia/termination/binomial01.smt2" 0.008350800 0
098 "clauses/lia/termination/binomial02.smt2" 0.017044623 0
099 "clauses/lia/termination/binomial03.smt2" 0.008403489 0
100 "clauses/lia/termination/binomial04.smt2" 0.017260957 0
101 "clauses/lia/termination/binomial05.smt2" 0.018755302 0
102 "clauses/lia/termination/CE-0CFA00.smt2" 0.007912182 0
103 "clauses/lia/termination/CE-0CFA01.smt2" 0.007908554 0
104 "clauses/lia/termination/CE-0CFA02.smt2" 0.008165826 0
105 "clauses/lia/termination/CE-0CFA03.smt2" 0.007969702 10
106 "clauses/lia/termination/CE-0CFA04.smt2" 0.007999082 0
107 "clauses/lia/termination/CE-0CFA05.smt2" 0.008043414 0
108 "clauses/lia/termination/CE-1CFA00.smt2" 0.051035103 0
109 "clauses/lia/termination/CE-1CFA01.smt2" 0.047398192 0
110 "clauses/lia/termination/CE-1CFA02.smt2" 0.047113354 0
111 "clauses/lia/termination/CE-1CFA03.smt2" 0.025944182 10
112 "clauses/lia/termination/CE-1CFA04.smt2" 0.102475287 10
113 "clauses/lia/termination/CE-1CFA05.smt2" 0.011077177 0
114 "clauses/lia/termination/CE-1CFA06.smt2" 0.011696654 0
115 "clauses/lia/termination/CE-1CFA07.smt2" 0.028045687 10
116 "clauses/lia/termination/CE-1CFA08.smt2" 0.008122263 0
117 "clauses/lia/termination/CE-1CFA09.smt2" 0.067004155 10
118 "clauses/lia/termination/CE-Jones_Bohr00.smt2" 0.008488235 0
119 "clauses/lia/termination/CE-Jones_Bohr01.smt2" 0.009708104 0
120 "clauses/lia/termination/CE-Jones_Bohr02.smt2" 0.008140101 0
121 "clauses/lia/termination/CE-Jones_Bohr03.smt2" 0.008260689 0
122 "clauses/lia/termination/CE-Jones_Bohr04.smt2" 0.066363135 10
123 "clauses/lia/termination/churchNum01.smt2" 0.030673114 0
124 "clauses/lia/termination/churchNum02.smt2" 0.008554022 0
125 "clauses/lia/termination/churchNum03.smt2" 0.007915694 0
126 "clauses/lia/termination/Fibonacci00.smt2" 0.008281756 0
127 "clauses/lia/termination/Fibonacci01.smt2" 0.008317951 0
128 "clauses/lia/termination/Fibonacci02.smt2" 0.013343875 0
129 "clauses/lia/termination/Fibonacci03.smt2" 0.014236324 0
130 "clauses/lia/termination/indirect00.smt2" 0.016131574 0
131 "clauses/lia/termination/indirect01.smt2" 0.052641654 0
132 "clauses/lia/termination/indirect02.smt2" 0.008237885 0
133 "clauses/lia/termination/indirect03.smt2" 0.017239731 0
134 "clauses/lia/termination/indirectHO00.smt2" 0.015826809 0
135 "clauses/lia/termination/indirectHO01.smt2" 0.033150422 0
136 "clauses/lia/termination/indirectHO02.smt2" 0.008237233 0
137 "clauses/lia/termination/indirectHO03.smt2" 0.017279050 0
138 "clauses/lia/termination/McCarthy9100.smt2" 0.008248243 0
139 "clauses/lia/termination/McCarthy9101.smt2" 0.008337907 0
140 "clauses/lia/termination/McCarthy9102.smt2" 0.016999496 0
141 "clauses/lia/termination/McCarthy9103.smt2" 0.020929414 0
142 "clauses/lia/termination/toChurch00.smt2" 0.069997372 0
143 "clauses/lia/termination/toChurch01.smt2" 0.016185347 0
144 "clauses/lia/termination/toChurch02.smt2" 0.017992276 0
145 "clauses/lia/termination/toChurch03.smt2" 0.009324393 0
146 "clauses/lia/termination/toChurch04.smt2" 0.008852947 0
147 "clauses/lia/termination/toChurch05.smt2" 0.021119129 0
148 "clauses/lia/termination/up_down00.smt2" 0.008232021 0
